journal,issueURL,volumn,issue,issueText,month,year,category,type,title,url,doi,pages,abstract,abstract_para_num,sci_hub
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, 1 April 2007, Pages 769–1142",April,2007,Original Article,R,"Is Relevance Relevant? Market, Science, and War: Discourses of Search Engine Quality",https://academic.oup.com/jcmc/article/12/3/866/4582998,10.1111/j.1083-6101.2007.00354.x,,"In the face of rising controversy about search engine results—that they are too restrictive, too comprehensive, lacking in certain areas, over-represented in others—this article presents the results of in-depth interviews with search engine producers, examining their conceptions of search engine quality and the implications of those conceptions. Structuration theory suggests that the cultural schemas that frame these discourses of quality will be central in mobilizing resources for technological development. The evidence presented here suggests that resources in search engine development are overwhelmingly allocated on the basis of market factors or scientific/technological concerns. Fairness and representativeness, core elements of the journalists’ definition of quality media content, are not key determiners of search engine quality in the minds of search engine producers. Rather, alternative standards of quality, such as customer satisfaction and relevance, mean that tactics to silence or promote certain websites or site owners (such as blacklisting, whitelisting, and index “cleaning”) are seen as unproblematic.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00354.x
Human Communication Research,https://academic.oup.com/hcr/issue/33/3?browseBy=volume,Volume 33,Issue 3,"Issue 3, 1 July 2007, Pages 271–395",July,2007,Original Article,R,An Experimental Investigation of Source Confusion in Televised Messages: News versus Advertisements,https://academic.oup.com/hcr/article/33/3/379/4210780,10.1111/j.1468-2958.2007.00304.x,379–395,"The study reported here employed a mixed factorial design to experimentally investigate the effects of message format on memory for the source of information. Political messages were presented in 3 types of formats: conventional political ads, news-like political ads, and news stories. Memory for the source of information was measured directly after exposure and a week later. The results of the experiment suggest that format and time had a significant effect on memory for the source. Subjects identified the source of information with about the same level of accuracy across formats right after exposure. A week later, subjects were significantly more inept at attributing information contained in news-like ads to its source than doing so for conventional ads and news stories. At that point, information presented in news-like ads was incorrectly attributed to news about 70% of the time.",1,https://sci-hub.se/10.1111/j.1468-2958.2007.00304.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, 1 October 2007, Pages 1–380",October,2007,Original Article,R,Im = Interruption Management? Instant Messaging and Disruption in the Workplace,https://academic.oup.com/jcmc/article/13/1/23/4583029,10.1111/j.1083-6101.2007.00384.x,,"Some scholars worry that Instant Messaging (IM), by virtue of the ease with which users can initiate and participate in online conversations, contributes to an increase in task interruption. Others argue that workers use IM strategically, employing it in ways that reduce interruption. This article examines the relationship between IM and interruption, using data collected via a (U.S.) national telephone survey of full-time workers who regularly use computers (N = 912). Analysis of these data indicates that IM use has no influence on overall levels of work communication. However, people who utilize IM at work report being interrupted less frequently than non-users, and they engage in more frequent computer-mediated communication than non-users, including both work-related and personal communication. These results are consistent with claims that employees use IM in ways that help them to manage interruption, such as quickly obtaining task-relevant information and negotiating conversational availability.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00384.x
Journal of Communication,https://academic.oup.com/joc/issue/57/1?browseBy=volume,Volume 57,Issue 1,"Issue 1, March 2007, Pages 1–181",March,2007,Original Articles,M,"Framing, Agenda Setting, and Priming: The Evolution of Three Media Effects Models",https://academic.oup.com/joc/article/57/1/9/4102624,10.1111/j.0021-9916.2007.00326.x,9–20,,,https://sci-hub.se/10.1111/j.0021-9916.2007.00326.x
Journal of Communication,https://academic.oup.com/joc/issue/57/4?browseBy=volume,Volume 57,Issue 4,"Issue 4, December 2007, Pages 613–819",December,2007,Original Articles,R,Direct and Differential Effects of the Internet on Political and Civic Engagement,https://academic.oup.com/joc/article/57/4/704/4102639,10.1111/j.1460-2466.2007.00364.x,704–718,"Given the significant rise in the number of Americans who turn to the Internet for political information, we examine the effects of these behaviors on political and civic engagement in an evolving media landscape. Specifically, we test hypotheses derived from competing models—the instrumental approach, which posits direct effects of Internet use and a psychological approach, which predicts contingent effects. Analyses of the 2004 American National Election Studies (N = 1,212) reveal a pattern of direct effects of Internet use on basic information acquisition and use but contingent effects for concrete acts of civic or political engagement. These results provide an important window on the political impacts of contemporary Internet use and suggest that future reassessments of the Internet’s role in public life should continue to probe for direct as well as differential effects.",1,https://sci-hub.se/10.1111/j.1460-2466.2007.00364.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, 1 October 2007, Pages 1–380",October,2007,Original Article,R,The Rules of Beeping: Exchanging Messages Via Intentional “Missed Calls” on Mobile Phones,https://academic.oup.com/jcmc/article/13/1/1/4583023,10.1111/j.1083-6101.2007.00383.x,,"This article explores the practice of “beeping” or “missed calling” between mobile phone users, or calling a number and hanging up before the mobile’s owner can pick up the call. Most beeps are requests to call back immediately, but they can also send a pre-negotiated instrumental message such as “pick me up now” or a relational sign, such as “I’m thinking of you.” The practice itself is old, with roots in landline behaviors, but it has grown tremendously, particularly in the developing world. Based on interviews with small business owners and university students in Rwanda, the article identifies three kinds of beeps (callback, pre-negotiated instrumental, and relational) and the norms governing their use. It then assesses the significance of the practice using adaptive structuration theory. In concluding, the article contrasts beeping with SMS/text messaging, discusses its implications for increasing access to telecommunications services, and suggests paths for future research.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00383.x
Communication Theory,https://academic.oup.com/ct/issue/17/4?browseBy=volume,Volume 17,Issue 4,"Issue 4, November 2007, Pages 329–508",November,2007,Original Articles,R,“Only Connect”: Between Morality and Ethics in Habermas’ Communication Theory,https://academic.oup.com/ct/article/17/4/340/4098655,10.1111/j.1468-2885.2007.00300.x,340–347,"Habermas’ recent work on political communication reveals a distrust of persuasion and private judgment. His distinction, however, between ethical and moral questions opens up a space for localized, rhetorical deliberation within a universalized communicative morality.",1,https://sci-hub.se/10.1111/j.1468-2885.2007.00300.x
Communication Theory,https://academic.oup.com/ct/issue/17/4?browseBy=volume,Volume 17,Issue 4,"Issue 4, November 2007, Pages 329–508",November,2007,Original Articles,R,Ecology of Meanings: A Critical Constructivist Communication Model,https://academic.oup.com/ct/article/17/4/386/4098693,10.1111/j.1468-2885.2007.00304.x,386–410,"Ecology of meanings is proposed as a theoretical model to explain communication processes. It is a critical constructivist approach that integrates the model of exchange values by Jean Piaget and the communication model of schematization by Jean-Blaise Grize, and explores a research path envisaged by Jürgen Habermas in the theory of communicative action. The model leads to an understanding of communication science as a transversal discipline that crosses all others; that is, both psychological and social, and that accounts for universal and necessary as well as particular and contingent knowledge. In this article, the model and potential contributions are explained.",1,https://sci-hub.se/10.1111/j.1468-2885.2007.00304.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, 1 October 2007, Pages 1–380",October,2007,Original Article,R,Signals in Social Supernets,https://academic.oup.com/jcmc/article/13/1/231/4583064,10.1111/j.1083-6101.2007.00394.x,,"Social network sites (SNSs) provide a new way to organize and navigate an egocentric social network. Are they a fad, briefly popular but ultimately useless? Or are they the harbingers of a new and more powerful social world, where the ability to maintain an immense network—a social “supernet”—fundamentally changes the scale of human society? This article presents signaling theory as a conceptual framework with which to assess the transformative potential of SNSs and to guide their design to make them into more effective social tools. It shows how the costs associated with adding friends and evaluating profiles affect the reliability of users’ self-presentation; examines strategies such as information fashion and risk-taking; and shows how these costs and strategies affect how the publicly-displayed social network aids the establishment of trust, identity, and cooperation—the essential foundations for an expanded social world.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00394.x
Human Communication Research,https://academic.oup.com/hcr/issue/33/3?browseBy=volume,Volume 33,Issue 3,"Issue 3, 1 July 2007, Pages 271–395",July,2007,Original Article,M,Foreign Abstracts,https://academic.oup.com/hcr/article/33/3/i/4210716,10.1111/j.1468-2958.2007.00299_1.x,i–xxx,,,https://sci-hub.se/10.1111/j.1468-2958.2007.00299_1.x
Journal of Communication,https://academic.oup.com/joc/issue/57/4?browseBy=volume,Volume 57,Issue 4,"Issue 4, December 2007, Pages 613–819",December,2007,Original Articles,R,"Hostile Media Perceptions, Presumed Media Influence, and Minority Alienation: The Case of Arabs in Israel",https://academic.oup.com/joc/article/57/4/632/4102687,10.1111/j.1460-2466.2007.00361.x,632–651,"This article examines the notion that minority perceptions of the strong influence of biased media coverage may indirectly lead to increased minority alienation. This idea was tested in the context of the perceived media stigmatization of Arab citizens in Israel. Using structural equation modeling (N = 251), it is demonstrated that, over and above the effects of ideological, social, and demographic variables, hostile media perceptions and the perceived influence of media coverage affected Arabs’ perceived image and consequently their social alienation. Interestingly, the amount of exposure to mainstream Israeli media did not play a significant part in this process. However, exposure to Arab media significantly affected perceptions of hostile coverage.",1,https://sci-hub.se/10.1111/j.1460-2466.2007.00361.x
Human Communication Research,https://academic.oup.com/hcr/issue/33/4?browseBy=volume,Volume 33,Issue 4,"Issue 4, 1 October 2007, Pages 397–535",October,2007,Original Article,R,Conceptualizing Media Stimuli in Experimental Research: Psychological Versus Attribute-Based Definitions,https://academic.oup.com/hcr/article/33/4/397/4210717,10.1111/j.1468-2958.2007.00305.x,397–426,"This paper argues for a clearer conceptualization of media stimuli in experimental research and identifies 3 issues impeding our understanding of message processing: (a) assumptions bolstered by manipulation checks about homogeneity of response to media stimuli, (b) conflation of 2 different classes of variables—media attributes and psychological states, and (c) discrepancies between the conceptual model and operational-level hypotheses used to test research questions. To provide a more comprehensive framework for investigating media effects in experimental research, we argue for a clearer conceptual separation between message attributes and user perceptions and apply a mediation model of information processing to overcome the limitations of conventional approaches. Subjected to 2 empirical tests involving the assessment of Web-based media, the model finds an increase in explained variance in each instance.",1,https://sci-hub.se/10.1111/j.1468-2958.2007.00305.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/4?browseBy=volume,Volume 12,Issue 4,"Issue 4, 1 July 2007, Pages 1143–1492",July,2007,Original Article,R,Ethos in Chaos? Reaction to Video Files Depicting Socially Harmful Images in the Channel 2 Japanese Internet Forum,https://academic.oup.com/jcmc/article/12/4/1248/4582991,10.1111/j.1083-6101.2007.00372.x,,"Channel 2 (ni-channeru) is the single most widely known free access Japanese Internet bulletin board forum, with over five million people accessing it each month. With its many dysfunctional aspects, Channel 2 is a synonym for the chaos of the Internet in Japan. This study analyzes the dynamics among users of the Channel 2 forum, focusing specifically on the dissemination of alarming images and video files of the October 2004 Japanese hostage murder in Iraq. An examination was conducted of November 2004 Channel 2 threads and entries about the dissemination of images and video files of the hostage murder. Our analysis reveals how content that highly violated moral principles appeared and how a self-regulating mechanism by the user community functioned pro-socially in an uncontrolled, anonymous Internet forum. These findings contrast with previous studies that predicted asocial or antisocial behavior in anonymous online environments.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00372.x
Human Communication Research,https://academic.oup.com/hcr/issue/33/4?browseBy=volume,Volume 33,Issue 4,"Issue 4, 1 October 2007, Pages 397–535",October,2007,Original Article,R,"Social Distance, Framing, and Judgment: A Construal Level Perspective",https://academic.oup.com/hcr/article/33/4/489/4210782,10.1111/j.1468-2958.2007.00309.x,489–514,"Drawing upon construal level theory, this research investigates the influence of social distance on individuals’ responses to persuasive messages. Experiment 1 (N = 133) demonstrates that the persuasive impact of a gain frame becomes stronger when people make judgments for socially distant (e.g., others) versus proximal entities (e.g., selves). On the other hand, the persuasive impact of a loss frame remains the same across different levels of social distance. Experiment 2 (N = 135) shows that the persuasiveness of a societal frame becomes stronger when people make judgments for socially distant versus proximal entities, whereas the persuasiveness of an individual frame is unaffected by social distance. Experiment 3 (N = 80) provides evidence that mental salience of positive and societal outcomes of an action increases as social distance increases, whereas mental salience of negative and individual outcomes remains the same across different levels of social distance.",1,https://sci-hub.se/10.1111/j.1468-2958.2007.00309.x
Communication Theory,https://academic.oup.com/ct/issue/17/4?browseBy=volume,Volume 17,Issue 4,"Issue 4, November 2007, Pages 329–508",November,2007,Original Articles,R,Language of the Lost: An Explication of Stigma Communication,https://academic.oup.com/ct/article/17/4/462/4098723,10.1111/j.1468-2885.2007.00307.x,462–485,"Although stigmas appear throughout history, even in present-day virtual communities, an explanation of stigma communication has yet to be offered; this essay attempts to do just that. This essay argues that stigma communication includes specific content: marks, labels, responsibility, and peril, in order to induce affective and cognitive responses to create stigma attitudes, to generate protective action tendencies, and to encourage the sharing of these messages with others. Stigma messages bear the following attributes: they provide cues (a) to distinguish people, (b) to categorize distinguished people as a separate social entity, (c) to imply a responsibility for receiving placement within this distinguished group and their associated peril, and (d) to link this distinguished group to physical and social peril. Different qualities of stigma messages, moreover, evoke different emotions (disgust, fear, and anger) that motivate people to access relevant social attitudes, form or bolster stigma attitudes, and to remove the stigmatized threat. Stigma attitudes encourage the sharing of stigma messages with others in a network, which may, subsequently, bond in-group members.",1,https://sci-hub.se/10.1111/j.1468-2885.2007.00307.x
Communication Theory,https://academic.oup.com/ct/issue/17/3?browseBy=volume,Volume 17,Issue 3,"Issue 3, August 2007, Pages 205–328",August,2007,Original Articles,R,Communicating About Culture and Health: Theorizing Culture-Centered and Cultural Sensitivity Approaches,https://academic.oup.com/ct/article/17/3/304/4098791,10.1111/j.1468-2885.2007.00297.x,304–328,"This essay proposes that health communication in cultural settings may be categorized under 2 broad umbrellas: the culture-centered approach and the cultural sensitivity approach. Whereas the culture-centered approach is based upon the commitment to building theories and applications from within the culture, the cultural sensitivity approach pushes the agenda of the status quo and seeks to adapt the messages to the cultural markers of the target audience. In this article, theoretical issues are presented for the discussion of each approach, accompanied by examination of the ways in which power, ideology, and hegemony play out in these approaches. Ultimately, this theoretical essay provides a conceptual framework for understanding the ways in which culture is theorized and applied in health communication.",1,https://sci-hub.se/10.1111/j.1468-2885.2007.00297.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, 1 April 2007, Pages 769–1142",April,2007,Original Article,R,"In Google We Trust: Users’ Decisions on Rank, Position, and Relevance",https://academic.oup.com/jcmc/article/12/3/801/4582975,10.1111/j.1083-6101.2007.00351.x,,"An eye tracking experiment revealed that college student users have substantial trust in Google’s ability to rank results by their true relevance to the query. When the participants selected a link to follow from Google’s result pages, their decisions were strongly biased towards links higher in position even if the abstracts themselves were less relevant. While the participants reacted to artificially reduced retrieval quality by greater scrutiny, they failed to achieve the same success rate. This demonstrated trust in Google has implications for the search engine’s tremendous potential influence on culture, society, and user traffic on the Web.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00351.x
Journal of Communication,https://academic.oup.com/joc/issue/57/2?browseBy=volume,Volume 57,Issue 2,"Issue 2, June 2007, Pages 183–414",June,2007,Original Articles,R,Development of the Affect for Communication Channels Scale,https://academic.oup.com/joc/article/57/2/349/4102666,10.1111/j.1460-2466.2007.00346.x,349–365,"As computers have increasingly provided new channels of communication, scholars have taken an interest in computer-mediated communication (CMC) in general and the impact of personality traits and other antecedents of preference for face-to-face or computer channels. Research is hampered, however, by the lack of standardized measures of CMC-related concepts. Three studies (N = 914) were undertaken to develop and validate a measure of affect for using communication channels. Findings of the studies provide strong evidence of the internal consistency and both construct and predictive validity of the scale.",1,https://sci-hub.se/10.1111/j.1460-2466.2007.00346.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, 1 October 2007, Pages 1–380",October,2007,Original Article,R,Mein Nick bin ich! Nicknames in a German Forum on Eating Disorders,https://academic.oup.com/jcmc/article/13/1/141/4583054,10.1111/j.1083-6101.2007.00390.x,,"This article demonstrates how nicknames that are used by participants in a German forum on eating disorders can be read as identity displays and how they may be related to eating disorders. A qualitative analysis of 83 nicknames of the Hungrig-Online forum reveals that denotational and stereotypical features, along with well-known referents of the names, interdependently characterize participants. Persona attributes such as smallness, weightlessness, childishness, negative self-evaluation, and depression, but also (arguably) self-confidence, are shown to be apparent in the nicknames; many of these attributes can be linked to multifaceted femininity. These findings are then related to general characteristics of eating disorders. In concluding, the far-reaching rules for registration of nicknames in the forum are taken into account and questioned, for it may be that in sensitive online groups, nicknames play an especially important role in identity construction.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00390.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, 1 April 2007, Pages 769–1142",April,2007,Original Article,R,Internet Use among Religious Followers: Religious Postmodernism in Japanese Buddhism,https://academic.oup.com/jcmc/article/12/3/977/4583020,10.1111/j.1083-6101.2007.00359.x,,"Strong sect organizations are a feature of traditional Buddhist denominations in Japan. Having long benefited from the protection of Japan’s feudal society, these once strong organizations have been buttressed by factors of social change in the modern and post-modern eras, including modernization and the evolution of the media. The Internet is a rich source of information about innovations of religions adapting to social change. To examine these changes, I undertook a survey from 2002 to 2004 of 2,007 followers and religious specialists. The results highlight a critical attitude among followers: Sending and receiving messages in the interaction between a religious group and its followers results in followers expanding the scope of allowable subjects of criticism, and they have begun to entertain doubts regarding their faith systems. We may infer that in postmodern faith, horizontal interaction among religious followers will take on an increasingly important role in comparison with the vertical (top-down) structure of traditional doctrines.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00359.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, 1 April 2007, Pages 769–1142",April,2007,Original Article,R,"Technological Modernization, the Internet, and Religion in Singapore",https://academic.oup.com/jcmc/article/12/3/1122/4583048,10.1111/j.1083-6101.2007.00366.x,,"This study critically examines the ways in which technological modernization and religion co-exist and mutually reinforce one another within the Singaporean context. Interviews with religious leaders of a diverse set of faiths in Singapore about how they understand the role of information technology in religious practice reveal a broad-based acceptance of the Internet and other information technologies and little sense of a danger to religious faith. Contrary to the proposals of secularization theory, these findings suggest that various religious communities have adopted and in some cases embrace the Internet as part of their contemporary religious mission and strategy for growth. The findings further contribute to historical research on the social construction of technology and lend support to emergent research on the spiritual shaping of Internet technology by religious communities seeking to integrate the Internet into their everyday social and religious practices in wired contexts such as Singapore.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00366.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, 1 January 2007, Pages 335–768",January,2007,Original Article,R,Evaluative Feedback: Perspectives on Media Effects,https://academic.oup.com/jcmc/article/12/2/384/4582977,10.1111/j.1083-6101.2007.00330.x,,"Computer-mediated communication (CMC) makes it possible to deliver evaluative feedback, an essential component of learning, over distance. This article presents a theoretical model of the CMC-based evaluative feedback process from the perspective of both senders and receivers of feedback. Hypotheses suggested by the model were tested in a quasi-laboratory experiment with part-time MBA students comparing email with voicemail. Within matched-pair dyads, email senders, but not voicemail senders, viewed their negative feedback as being significantly more negative than did their receivers. Voicemail senders, but not email senders, reported significantly lower comfort levels than did their receivers. No feedback effectiveness differences were found between media conditions, although determinants of feedback effectiveness differed significantly depending on the medium. These results are generally consistent with the theoretical model.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00330.x
Communication Theory,https://academic.oup.com/ct/issue/17/4?browseBy=volume,Volume 17,Issue 4,"Issue 4, November 2007, Pages 329–508",November,2007,Original Articles,R,Normative Potentials of Rhetorical Action Within Deliberative Democracies,https://academic.oup.com/ct/article/17/4/356/4098777,10.1111/j.1468-2885.2007.00302.x,356–366,"Jurgen Habermas’ theoretically generated normative recommendations for deliberative democracies prompt a number of questions that are symptomatic of a mode of theorizing that has given short shrift to an empirical is that asserts itself either as constraints upon emancipatory potentials of public sphere communication or as the emancipatory potentials themselves as expressed concretely within empirically situated communicative practices. This limitation is apparent in the relative neglect of subaltern groups that remain walled off from effective participation in the public sphere. Consideration of the rhetorical practices of subalterns, I argue, invites critical reappraisal of Habermas’ discourse-based theory of the public sphere which, in turn, suggests that some modification of his normative recommendations for deliberative democracies may be in order.",1,https://sci-hub.se/10.1111/j.1468-2885.2007.00302.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, 1 October 2007, Pages 1–380",October,2007,Original Article,R,University Instructors’ Acceptance of Electronic Courseware: An Application of the Technology Acceptance Model,https://academic.oup.com/jcmc/article/13/1/163/4583059,10.1111/j.1083-6101.2007.00391.x,,"This study examines the factors that influence instructors’ adoption and use of an Internet-based course management system and tests the applicability of the Technology Acceptance Model (TAM), introduced byDavis (1986), in the context of e-learning practices in higher education. Using data from an online survey of a university’s instructors (N = 191), a path analysis revealed that perceived ease of use of the system had a significant impact on perceived usefulness as the TAM suggested. In addition, a direct effect of perceived usefulness on behavioral intention to use and an indirect effect of the variable on actual system use, both of which were proposed in the TAM, were also found. Further, motivation to use the system played a significant role in affecting perceived ease of use, perceived usefulness, evaluation of functions, current system use, and behavioral intention to keep using the system. This study suggests that integration of the TAM and the uses and gratification approach can be fruitful for future research on the diffusion of Internet-based technological systems.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00391.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, 1 January 2007, Pages 335–768",January,2007,Original Article,R,"Shake, Rattle, and Roles: Lessons from Experimental Earthquake Engineering for Incorporating Remote Users in Large-Scale E-Science Experiments",https://academic.oup.com/jcmc/article/12/2/673/4583463,10.1111/j.1083-6101.2007.00344.x,,"While there has been substantial interest in using e-science and cyberinfrastructure technologies to enable synchronous remote participation in experimental research, the details of such participation are in question. On the one hand, there is a desire to give remote participants the same views and capabilities that they would have as local participants. On the other hand, there are settings where experimental specimens and apparatus are large and difficult to manipulate effectively or view from a remote vantage point. This article argues for more novel forms of remote participation by drawing on exploratory interview and observation data gathered in civil engineering laboratories. It is shown that, while experiments are in progress, the engineers studied focus primarily on detecting and preventing specimen failures, and that their unease about remote participation stems from doubts about the ability of remote participants to detect failures adequately. It is argued that this presents the opportunity to consider novel roles for remote participants that exploit the features of e-science technologies.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00344.x
Human Communication Research,https://academic.oup.com/hcr/issue/33/4?browseBy=volume,Volume 33,Issue 4,"Issue 4, 1 October 2007, Pages 397–535",October,2007,Original Article,R,The Influence of Competitive and Cooperative Group Game Play on State Hostility,https://academic.oup.com/hcr/article/33/4/450/4210758,10.1111/j.1468-2958.2007.00307.x,450–466,"Most research on violent video game play suggests a positive relationship with aggression-related outcomes. Expanding this research, the current study examines the impact group size, game motivation, in-game behavior, and verbal aggression have on postgame play hostility. Consistent with previous research, group size and verbal aggression both displayed a significant positive relationship with hostility. From these results, avenues for future research on anti- and prosocial outcomes from group gaming are offered.",1,https://sci-hub.se/10.1111/j.1468-2958.2007.00307.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/4?browseBy=volume,Volume 12,Issue 4,"Issue 4, 1 July 2007, Pages 1143–1492",July,2007,Original Article,R,Online Communication and Adolescent Well-Being: Testing the Stimulation versus the Displacement Hypothesis,https://academic.oup.com/jcmc/article/12/4/1169/4582968,10.1111/j.1083-6101.2007.00368.x,,"The aim of this study was to contrast the validity of two opposing explanatory hypotheses about the effect of online communication on adolescents’ well-being. The displacement hypothesis predicts that online communication reduces adolescents’ well-being because it displaces time spent with existing friends, thereby reducing the quality of these friendships. In contrast, the stimulation hypothesis states that online communication stimulates well-being via its positive effect on time spent with existing friends and the quality of these friendships. We conducted an online survey among 1,210 Dutch teenagers between 10 and 17 years of age. Using mediation analyses, we found support for the stimulation hypothesis but not for the displacement hypothesis. We also found a moderating effect of type of online communication on adolescents’ well-being: Instant messaging, which was mostly used to communicate with existing friends, positively predicted well-being via the mediating variables (a) time spent with existing friends and (b) the quality of these friendships. Chat in a public chatroom, which was relatively often used to talk with strangers, had no effect on adolescents’ well-being via the mediating variables.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00368.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, 1 April 2007, Pages 769–1142",April,2007,Original Article,R,Diaspora on the Electronic Frontier: Developing Virtual Connections with Sacred Homelands,https://academic.oup.com/jcmc/article/12/3/956/4583017,10.1111/j.1083-6101.2007.00358.x,,"This study demonstrates how diaspora religious traditions utilized the Internet to develop significant network connections among each other and also to their place of origins. By examining the early Usenet system, I argue that the religious beliefs and practices of diaspora religious traditions were a motivating factor for developing Usenet groups where geographically dispersed individuals could connect with each other in safe, supportive, and religiously tolerant environments. This article explores the new forms of religious practices that began to occur on these sites, focusing on the manner in which Internet technology and the World Wide Web were utilized for activities such as long-distance ritual practice, cyber pilgrimage, and other religiously-motivated undertakings. Through these new online religious activities, diaspora groups have been able to develop significant connections not only among people, but also between people and the sacred homeland itself.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00358.x
Journal of Communication,https://academic.oup.com/joc/issue/57/1?browseBy=volume,Volume 57,Issue 1,"Issue 1, March 2007, Pages 1–181",March,2007,Original Articles,R,"Wanted, Dead or Alive: Media Frames, Frame Adoption, and Support for the War in Afghanistan",https://academic.oup.com/joc/article/57/1/119/4102643,10.1111/j.1460-2466.2006.00332.x,119–141,,,https://sci-hub.se/10.1111/j.1460-2466.2006.00332.x
Journal of Communication,https://academic.oup.com/joc/issue/57/1?browseBy=volume,Volume 57,Issue 1,"Issue 1, March 2007, Pages 1–181",March,2007,Original Articles,R,Curmudgeonly Advice,https://academic.oup.com/joc/article/57/1/155/4102655,10.1111/j.1460-2466.2006.00335.x,155–162,,,https://sci-hub.se/10.1111/j.1460-2466.2006.00335.x
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, 1 April 2007, Pages 769–1142",April,2007,Original Article,R,Searching for Culture—High and Low,https://academic.oup.com/jcmc/article/12/3/824/4582983,10.1111/j.1083-6101.2007.00352.x,,"This article examines the link between finding out about cultural activities on the Web and finding out through other people. Using data from interviews with Torontonians, we show that people first obtain cultural information from interpersonal ties or other offline sources and only then turn to the Web to amplify this information. The decisions about what information to seek from which media can be evaluated in terms of a uses and gratifications approach; the main gratifications identified include efficiency and the availability of up-to-date information. Our findings also have implications for the model of the traditional two-step flow of communication. We suggest the existence of new steps, whereby people receive recommendations from their interpersonal ties, gather information about these recommendations online, take this information back to their ties, and go back to the Web to check the new information that their ties have provided them.",1,https://sci-hub.se/10.1111/j.1083-6101.2007.00352.x
Human Communication Research,https://academic.oup.com/hcr/issue/33/3?browseBy=volume,Volume 33,Issue 3,"Issue 3, 1 July 2007, Pages 271–395",July,2007,Original Article,R,Communication Processes That Mediate Family Communication Patterns and Mental Well-Being: A Mean and Covariance Structures Analysis of Young Adults from Divorced and Nondivorced Families,https://academic.oup.com/hcr/article/33/3/330/4210753,10.1111/j.1468-2958.2007.00302.x,330–356,"In this study, demand/withdraw patterns and feeling caught were tested as mediators of family communication patterns and young adults’ mental well-being. Participants included 567 young adults from divorced and nondivorced families. For young adults in nondivorced families, family conversation orientations had both a positive, direct effect on mental well-being and an indirect effect on well-being through witnessing marital demand/withdraw patterns and feeling caught. For young adults in divorced families, however, conversation orientations had only a direct, positive effect on well-being, whereas conformity orientations had a negative, indirect effect through witnessing demand/withdraw patterns. Interestingly, respondents from divorced families reported more feelings of being caught between their parents, yet such feelings predicted diminished well-being only for respondents from nondivorced families.",1,https://sci-hub.se/10.1111/j.1468-2958.2007.00302.x
